OBJECTID,GEOMETRY_START_DATE,GEOMETRY_END_DATE,STAT_AREA,STAT_AREA_NAME,FISHERY_GROUP_CODE,GIS_SERIES_NAME,GIS_SERIES_CODE,REGION_CODE,REGISTRATION_AREA_NAME,REGISTRATION_AREA_CODE,REGISTRATION_AREA_ID,REGISTRATION_LOCATION_ABBR,MANAGEMENT_AREA_NAME,MANAGEMENT_AREA_CODE,DISTRICT_NAME,DISTRICT_CODE,DISTRICT_ID,SUBDISTRICT_NAME,SUBDISTRICT_CODE,SUBDISTRICT_ID,SECTION_NAME,SECTION_CODE,SECTION_ID,SUBSECTION_NAME,SUBSECTION_CODE,SUBSECTION_ID,COAR_AREA_CODE,CREATOR,CREATE_DATE,EDITOR,EDIT_DATE,COMMENTS,STAT_AREA_VERSION_ID,Shape__Area,Shape__Length
1,1/1/1976 10:00:00 AM,,33461,Tanana River mouth to Kantishna River ,B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 6,Y-6,,Subdistrict 6-A,6-A,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,"Yukon District, 6 Subdistrict and 6-A Section until 1/1/1980",,0.38197704234517,4.61018294204583
2,1/1/1975 12:00:00 AM,,33462,Kantishna River to Wood River,B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 6,Y-6,,Subdistrict 6-B,6-B,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,"Yukon District, 6 Subdistrict and 6-B Section until 1/1/1980",,0.321942702396882,3.68242100200704
3,1/1/1978 12:00:00 AM,,33431,Toklik to Cottonwood Point,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 3,Y-3,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,Yukon District and 3 Subdistrict until 1/1/1980,,0.198739787248087,2.21564098766887
4,1/1/1980 12:00:00 AM,,33442,"Right Bank, Bishop Rock to Illinois Creek ",B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 4,Y-4,,Subdistrict 4-B,4-B,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,,,0.382788331279698,9.17985205589696
5,1/1/1980 12:00:00 AM,,33443,"Left Bank, Cone Point to Illinois Creek ",B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 4,Y-4,,Subdistrict 4-C,4-C,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Kathy Smikrud,5/23/2022 12:00:00 AM,,,0.378262400654421,9.50082593056484
6,1/1/1981 12:00:00 AM,,33453,Garnet Island to two miles below Waldron Creek,B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 5,Y-5,,Subdistrict 5-C,5-C,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,,,0.378679312896566,3.82584818290981
7,1/1/1981 12:00:00 AM,,33452,"Right Bank, Illinois Creek to Garnet Island",B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 5,Y-5,,Subdistrict 5-B,5-B,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,,,0.301884747370423,5.22784709876717
8,1/1/1981 12:00:00 AM,,33451,"Left Bank, Illinois Creek to Tanana River",B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 5,Y-5,,Subdistrict 5-A,5-A,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,,,0.0912363398019806,2.42670263609233
9,1/1/1981 12:00:00 AM,,33432,Cottonwood Point to Old Paradise Village,B,Salmon,B,3,Yukon Area,Y,,,Lower Yukon,YL,District 3,Y-3,,,,,,,,,,,YL,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,,,0.371925821517834,3.9940390627215
10,1/1/1982 12:00:00 AM,,33463,Wood River to Salcha River,B,Salmon,B,3,Yukon Area,Y,,,Upper Yukon,YU,District 6,Y-6,,Subdistrict 6-C,6-C,,,,,,,,YU,Evelyn Russel,3/26/2006 12:00:00 AM,Sabrina Larsen,2/2/2017 12:00:00 AM,,,0.323341466713828,4.31135649116506
